,recipeA,recipeB,shared_ingred
1614,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond-crusted salmon with chilli spinach,4
1615,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond and lemon polenta cake with orange mascarpone,1
1616,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond lentil stew,3
1617,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond dipping sauce with pitta bread fingers,1
1618,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond pancakes with ice cream and toffee sauce,1
1619,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond puddings with Christmas pudding ice cream,1
1620,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond-rolled goats' cheese,3
1621,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond rice pudding and cherry compôte,1
1622,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond praline,0
1623,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almondy mince pies,1
1624,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond tart,0
1625,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond semifreddo,1
1626,Adhraki gosht (lamb masala in a tomato and ginger sauce),Alpine pizza,4
1627,Adhraki gosht (lamb masala in a tomato and ginger sauce),Almond soup,3
1628,Adhraki gosht (lamb masala in a tomato and ginger sauce),Alternative fish and chips,3
1629,Adhraki gosht (lamb masala in a tomato and ginger sauce),Aloo panchporan (Stir-fried potatoes tempered with five spices),3
1630,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti and berry sundae,1
1631,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti biscuits,1
1632,Adhraki gosht (lamb masala in a tomato and ginger sauce),"Salt crust chicken with peas, broad beans and mousseron mushrooms",4
1633,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti tiramisu,1
1634,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti biscuits,0
1635,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti-stuffed pears with red wine and vanilla sauce,1
1636,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretti biscuits,1
1637,Adhraki gosht (lamb masala in a tomato and ginger sauce),A medley of shellfish with baby vegetables,1
1638,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amaretto vanilla custard,1
1639,Adhraki gosht (lamb masala in a tomato and ginger sauce),Amazing apple tarts,1
1640,Adhraki gosht (lamb masala in a tomato and ginger sauce),American baked cheesecake,1
1641,Adhraki gosht (lamb masala in a tomato and ginger sauce),American-style pancakes with bacon and maple syrup,1
1642,Adhraki gosht (lamb masala in a tomato and ginger sauce),Gluten-free American buttermilk pancakes,2
1643,Adhraki gosht (lamb masala in a tomato and ginger sauce),American pancakes with flambéed cherries and warm chocolate sauce,2
1644,Adhraki gosht (lamb masala in a tomato and ginger sauce),Chocolate ripple cheesecake,1
1645,Adhraki gosht (lamb masala in a tomato and ginger sauce),Breakfast muffins,2
1646,Adhraki gosht (lamb masala in a tomato and ginger sauce),American fried chicken with spicy chickpeas and honey glazed tomatoes,2
1647,Adhraki gosht (lamb masala in a tomato and ginger sauce),American-style chocolate brownies,1
1648,Adhraki gosht (lamb masala in a tomato and ginger sauce),American-style mango pancakes,2
1649,Adhraki gosht (lamb masala in a tomato and ginger sauce),American style pancakes with sausage,2
1650,Adhraki gosht (lamb masala in a tomato and ginger sauce),American-style pancakes with blueberries,2
1651,Adhraki gosht (lamb masala in a tomato and ginger sauce),American-style pancakes with blueberries,2
1652,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anatra con melagrana (duck with pomegranate) and sautéed escarole,3
1653,Adhraki gosht (lamb masala in a tomato and ginger sauce),An authentic ragù bolognese,5
1654,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anchoïade dip,3
1655,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anchoïade with crudites,3
1656,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anchovy and sage crisps,1
1657,Adhraki gosht (lamb masala in a tomato and ginger sauce),Pork chops with celeriac mash and apple and ale gravy,3
1658,Adhraki gosht (lamb masala in a tomato and ginger sauce),An extraordinary way with lettuce,1
1659,Adhraki gosht (lamb masala in a tomato and ginger sauce),Andalucian shrimp and spring onion fritters,3
1660,Adhraki gosht (lamb masala in a tomato and ginger sauce),"Andalucian pork with apricots, prunes and herbs, rolled in paprika",3
1661,Adhraki gosht (lamb masala in a tomato and ginger sauce),Feijoada ,5
1662,Adhraki gosht (lamb masala in a tomato and ginger sauce),Angela's slow roasted ginger pork,3
1663,Adhraki gosht (lamb masala in a tomato and ginger sauce),Angel food cake with lemon curd,2
1664,Adhraki gosht (lamb masala in a tomato and ginger sauce),Chicken in white wine sauce,3
1665,Adhraki gosht (lamb masala in a tomato and ginger sauce),Annika's glögg (Annika’s mulled wine),2
1666,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anolini in brodo (meat filled pasta in chicken broth),5
1667,Adhraki gosht (lamb masala in a tomato and ginger sauce),Easy cookies,3
1668,Adhraki gosht (lamb masala in a tomato and ginger sauce),Anglesey eggs with bacon chops,2
1669,Adhraki gosht (lamb masala in a tomato and ginger sauce),Antony's 'mainstay' mince,5
1670,Adhraki gosht (lamb masala in a tomato and ginger sauce),Aperitivo di passata,3
1671,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and blueberry cobbler,0
1672,Adhraki gosht (lamb masala in a tomato and ginger sauce),Delia's any kind of cheese sauce,2
1673,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and blackberry crumble,1
1674,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and blueberry pie,1
1675,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and carrot sesame crumble,1
1676,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and Cheshire cheese bake,0
1677,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and bacon chutney,1
1678,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and cinnamon kugelhopf with honeyed apples,2
1679,Adhraki gosht (lamb masala in a tomato and ginger sauce),Loaf cake with apple and cinnamon,0
1680,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and filo tart with scallops and bacon salad,2
1681,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and lemon kites ,1
1682,Adhraki gosht (lamb masala in a tomato and ginger sauce),Apple and passion fruit tartlets,2
1683,Ajwain parathas ,15 minute pasta,1
1684,Ajwain parathas ,3D biscuits ,2
1685,Ajwain parathas ,2-hour Christmas dinner,1
1686,Ajwain parathas ,Mustard and thyme crusted rib-eye of beef ,1
1687,Ajwain parathas ,Aberdeen butteries (Rowies),3
1688,Ajwain parathas ,Abundant steamed sea bass and seasonal clams with sizzling oil,1
1689,Ajwain parathas ,A classic sponge cake (with passion fruit filling),1
1690,Ajwain parathas ,Lemon curd ice cream,1
1691,Ajwain parathas ,"A creamy, crunchy fruit sundae",1
1692,Ajwain parathas ,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",3
1693,Ajwain parathas ,Ackee and saltfish,1
1694,Ajwain parathas ,Aged sirloin steak with Thai salad and toasted hazelnuts,2
1695,Ajwain parathas ,Aglio e peperoncino,1
1696,Ajwain parathas ,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),2
1697,Ajwain parathas ,Aïoli,1
1698,Ajwain parathas ,Adhraki gosht (lamb masala in a tomato and ginger sauce),2
1699,Ajwain parathas ,Ajwain parathas ,4
1700,Ajwain parathas ,Albanian baked lamb with rice (Tavë kosi),3
1701,Ajwain parathas ,Saturday Kitchen Sling ,1
1702,Ajwain parathas ,Aji de gallina,1
1703,Ajwain parathas ,Ajitsuke tamago (Japanese pickled eggs),1
1704,Ajwain parathas ,Albondigas (spicy Mexican meatballs with red rice),3
1705,Ajwain parathas ,All-in-one rib roast with horseradish glaze,1
1706,Ajwain parathas ,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
1707,Ajwain parathas ,All-day breakfast frittata,1
1708,Ajwain parathas ,All-purpose easy butter cake,2
1709,Ajwain parathas ,Ale fruit loaf,1
1710,Ajwain parathas ,All-in-one white sauce,1
1711,Ajwain parathas ,Almond and cauliflower korma curry,2
1712,Ajwain parathas ,"Almond, cranberry and orange biscotti",3
1713,Ajwain parathas ,Almond-crusted salmon with chilli spinach,2
1714,Ajwain parathas ,Almond and lemon polenta cake with orange mascarpone,1
1715,Ajwain parathas ,Almond lentil stew,2
1716,Ajwain parathas ,Almond dipping sauce with pitta bread fingers,1
1717,Ajwain parathas ,Almond pancakes with ice cream and toffee sauce,1
1718,Ajwain parathas ,Almond puddings with Christmas pudding ice cream,2
1719,Ajwain parathas ,Almond-rolled goats' cheese,3
1720,Ajwain parathas ,Almond rice pudding and cherry compôte,1
1721,Ajwain parathas ,Almond praline,0
1722,Ajwain parathas ,Almondy mince pies,2
1723,Ajwain parathas ,Almond tart,1
1724,Ajwain parathas ,Almond semifreddo,2
1725,Ajwain parathas ,Alpine pizza,3
1726,Ajwain parathas ,Almond soup,2
1727,Ajwain parathas ,Alternative fish and chips,3
1728,Ajwain parathas ,Aloo panchporan (Stir-fried potatoes tempered with five spices),2
1729,Ajwain parathas ,Amaretti and berry sundae,1
1730,Ajwain parathas ,Amaretti biscuits,1
1731,Ajwain parathas ,"Salt crust chicken with peas, broad beans and mousseron mushrooms",3
1732,Ajwain parathas ,Amaretti tiramisu,1
1733,Ajwain parathas ,Amaretti biscuits,0
1734,Ajwain parathas ,Amaretti-stuffed pears with red wine and vanilla sauce,1
1735,Ajwain parathas ,Amaretti biscuits,1
1736,Ajwain parathas ,A medley of shellfish with baby vegetables,2
1737,Ajwain parathas ,Amaretto vanilla custard,1
1738,Ajwain parathas ,Amazing apple tarts,1
1739,Ajwain parathas ,American baked cheesecake,2
1740,Ajwain parathas ,American-style pancakes with bacon and maple syrup,2
1741,Ajwain parathas ,Gluten-free American buttermilk pancakes,3
1742,Ajwain parathas ,American pancakes with flambéed cherries and warm chocolate sauce,2
1743,Ajwain parathas ,Chocolate ripple cheesecake,1
1744,Ajwain parathas ,Breakfast muffins,2
1745,Ajwain parathas ,American fried chicken with spicy chickpeas and honey glazed tomatoes,2
1746,Ajwain parathas ,American-style chocolate brownies,2
1747,Ajwain parathas ,American-style mango pancakes,2
1748,Ajwain parathas ,American style pancakes with sausage,2
1749,Ajwain parathas ,American-style pancakes with blueberries,2
1750,Ajwain parathas ,American-style pancakes with blueberries,2
1751,Ajwain parathas ,Anatra con melagrana (duck with pomegranate) and sautéed escarole,3
1752,Ajwain parathas ,An authentic ragù bolognese,2
1753,Ajwain parathas ,Anchoïade dip,2
1754,Ajwain parathas ,Anchoïade with crudites,2
1755,Ajwain parathas ,Anchovy and sage crisps,2
1756,Ajwain parathas ,Pork chops with celeriac mash and apple and ale gravy,2
1757,Ajwain parathas ,An extraordinary way with lettuce,1
1758,Ajwain parathas ,Andalucian shrimp and spring onion fritters,4
1759,Ajwain parathas ,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",2
1760,Ajwain parathas ,Feijoada ,2
1761,Ajwain parathas ,Angela's slow roasted ginger pork,2
1762,Ajwain parathas ,Angel food cake with lemon curd,3
1763,Ajwain parathas ,Chicken in white wine sauce,2
1764,Ajwain parathas ,Annika's glögg (Annika’s mulled wine),1
1765,Ajwain parathas ,Anolini in brodo (meat filled pasta in chicken broth),4
1766,Ajwain parathas ,Easy cookies,3
1767,Ajwain parathas ,Anglesey eggs with bacon chops,3
1768,Ajwain parathas ,Antony's 'mainstay' mince,2
1769,Ajwain parathas ,Aperitivo di passata,2
1770,Ajwain parathas ,Apple and blueberry cobbler,0
1771,Ajwain parathas ,Delia's any kind of cheese sauce,2
1772,Ajwain parathas ,Apple and blackberry crumble,2
1773,Ajwain parathas ,Apple and blueberry pie,1
1774,Ajwain parathas ,Apple and carrot sesame crumble,2
1775,Ajwain parathas ,Apple and Cheshire cheese bake,0
1776,Ajwain parathas ,Apple and bacon chutney,1
1777,Ajwain parathas ,Apple and cinnamon kugelhopf with honeyed apples,3
1778,Ajwain parathas ,Loaf cake with apple and cinnamon,0
1779,Ajwain parathas ,Apple and filo tart with scallops and bacon salad,2
1780,Ajwain parathas ,Apple and lemon kites ,2
1781,Ajwain parathas ,Apple and passion fruit tartlets,3
1782,Albanian baked lamb with rice (Tavë kosi),15 minute pasta,2
1783,Albanian baked lamb with rice (Tavë kosi),3D biscuits ,4
1784,Albanian baked lamb with rice (Tavë kosi),2-hour Christmas dinner,4
1785,Albanian baked lamb with rice (Tavë kosi),Mustard and thyme crusted rib-eye of beef ,2
1786,Albanian baked lamb with rice (Tavë kosi),Aberdeen butteries (Rowies),3
1787,Albanian baked lamb with rice (Tavë kosi),Abundant steamed sea bass and seasonal clams with sizzling oil,2
1788,Albanian baked lamb with rice (Tavë kosi),A classic sponge cake (with passion fruit filling),3
1789,Albanian baked lamb with rice (Tavë kosi),Lemon curd ice cream,1
1790,Albanian baked lamb with rice (Tavë kosi),"A creamy, crunchy fruit sundae",1
1791,Albanian baked lamb with rice (Tavë kosi),"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",5
1792,Albanian baked lamb with rice (Tavë kosi),Ackee and saltfish,4
1793,Albanian baked lamb with rice (Tavë kosi),Aged sirloin steak with Thai salad and toasted hazelnuts,4
1794,Albanian baked lamb with rice (Tavë kosi),Aglio e peperoncino,2
1795,Albanian baked lamb with rice (Tavë kosi),Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),3
1796,Albanian baked lamb with rice (Tavë kosi),Aïoli,4
1797,Albanian baked lamb with rice (Tavë kosi),Adhraki gosht (lamb masala in a tomato and ginger sauce),3
1798,Albanian baked lamb with rice (Tavë kosi),Ajwain parathas ,3
1799,Albanian baked lamb with rice (Tavë kosi),Albanian baked lamb with rice (Tavë kosi),10
1800,Albanian baked lamb with rice (Tavë kosi),Saturday Kitchen Sling ,1
1801,Albanian baked lamb with rice (Tavë kosi),Aji de gallina,3
1802,Albanian baked lamb with rice (Tavë kosi),Ajitsuke tamago (Japanese pickled eggs),2
1803,Albanian baked lamb with rice (Tavë kosi),Albondigas (spicy Mexican meatballs with red rice),6
1804,Albanian baked lamb with rice (Tavë kosi),All-in-one rib roast with horseradish glaze,0
1805,Albanian baked lamb with rice (Tavë kosi),"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",4
1806,Albanian baked lamb with rice (Tavë kosi),All-day breakfast frittata,3
1807,Albanian baked lamb with rice (Tavë kosi),All-purpose easy butter cake,4
1808,Albanian baked lamb with rice (Tavë kosi),Ale fruit loaf,2
1809,Albanian baked lamb with rice (Tavë kosi),All-in-one white sauce,3
1810,Albanian baked lamb with rice (Tavë kosi),Almond and cauliflower korma curry,3
1811,Albanian baked lamb with rice (Tavë kosi),"Almond, cranberry and orange biscotti",3
1812,Albanian baked lamb with rice (Tavë kosi),Almond-crusted salmon with chilli spinach,4
1813,Albanian baked lamb with rice (Tavë kosi),Almond and lemon polenta cake with orange mascarpone,3
1814,Albanian baked lamb with rice (Tavë kosi),Almond lentil stew,3
1815,Albanian baked lamb with rice (Tavë kosi),Almond dipping sauce with pitta bread fingers,2
1816,Albanian baked lamb with rice (Tavë kosi),Almond pancakes with ice cream and toffee sauce,3
1817,Albanian baked lamb with rice (Tavë kosi),Almond puddings with Christmas pudding ice cream,4
1818,Albanian baked lamb with rice (Tavë kosi),Almond-rolled goats' cheese,5
1819,Albanian baked lamb with rice (Tavë kosi),Almond rice pudding and cherry compôte,2
1820,Albanian baked lamb with rice (Tavë kosi),Almond praline,0
1821,Albanian baked lamb with rice (Tavë kosi),Almondy mince pies,4
1822,Albanian baked lamb with rice (Tavë kosi),Almond tart,3
1823,Albanian baked lamb with rice (Tavë kosi),Almond semifreddo,3
1824,Albanian baked lamb with rice (Tavë kosi),Alpine pizza,3
1825,Albanian baked lamb with rice (Tavë kosi),Almond soup,5
1826,Albanian baked lamb with rice (Tavë kosi),Alternative fish and chips,4
1827,Albanian baked lamb with rice (Tavë kosi),Aloo panchporan (Stir-fried potatoes tempered with five spices),1
1828,Albanian baked lamb with rice (Tavë kosi),Amaretti and berry sundae,1
1829,Albanian baked lamb with rice (Tavë kosi),Amaretti biscuits,1
1830,Albanian baked lamb with rice (Tavë kosi),"Salt crust chicken with peas, broad beans and mousseron mushrooms",6
1831,Albanian baked lamb with rice (Tavë kosi),Amaretti tiramisu,1
1832,Albanian baked lamb with rice (Tavë kosi),Amaretti biscuits,1
1833,Albanian baked lamb with rice (Tavë kosi),Amaretti-stuffed pears with red wine and vanilla sauce,2
1834,Albanian baked lamb with rice (Tavë kosi),Amaretti biscuits,3
1835,Albanian baked lamb with rice (Tavë kosi),A medley of shellfish with baby vegetables,3
1836,Albanian baked lamb with rice (Tavë kosi),Amaretto vanilla custard,2
1837,Albanian baked lamb with rice (Tavë kosi),Amazing apple tarts,3
1838,Albanian baked lamb with rice (Tavë kosi),American baked cheesecake,4
1839,Albanian baked lamb with rice (Tavë kosi),American-style pancakes with bacon and maple syrup,4
1840,Albanian baked lamb with rice (Tavë kosi),Gluten-free American buttermilk pancakes,4
1841,Albanian baked lamb with rice (Tavë kosi),American pancakes with flambéed cherries and warm chocolate sauce,2
1842,Albanian baked lamb with rice (Tavë kosi),Chocolate ripple cheesecake,3
1843,Albanian baked lamb with rice (Tavë kosi),Breakfast muffins,3
1844,Albanian baked lamb with rice (Tavë kosi),American fried chicken with spicy chickpeas and honey glazed tomatoes,4
1845,Albanian baked lamb with rice (Tavë kosi),American-style chocolate brownies,4
1846,Albanian baked lamb with rice (Tavë kosi),American-style mango pancakes,3
1847,Albanian baked lamb with rice (Tavë kosi),American style pancakes with sausage,3
1848,Albanian baked lamb with rice (Tavë kosi),American-style pancakes with blueberries,2
1849,Albanian baked lamb with rice (Tavë kosi),American-style pancakes with blueberries,3
1850,Albanian baked lamb with rice (Tavë kosi),Anatra con melagrana (duck with pomegranate) and sautéed escarole,6
1851,Albanian baked lamb with rice (Tavë kosi),An authentic ragù bolognese,5
1852,Albanian baked lamb with rice (Tavë kosi),Anchoïade dip,4
1853,Albanian baked lamb with rice (Tavë kosi),Anchoïade with crudites,5
1854,Albanian baked lamb with rice (Tavë kosi),Anchovy and sage crisps,3
1855,Albanian baked lamb with rice (Tavë kosi),Pork chops with celeriac mash and apple and ale gravy,4
1856,Albanian baked lamb with rice (Tavë kosi),An extraordinary way with lettuce,2
1857,Albanian baked lamb with rice (Tavë kosi),Andalucian shrimp and spring onion fritters,5
1858,Albanian baked lamb with rice (Tavë kosi),"Andalucian pork with apricots, prunes and herbs, rolled in paprika",4
1859,Albanian baked lamb with rice (Tavë kosi),Feijoada ,4
1860,Albanian baked lamb with rice (Tavë kosi),Angela's slow roasted ginger pork,4
1861,Albanian baked lamb with rice (Tavë kosi),Angel food cake with lemon curd,4
1862,Albanian baked lamb with rice (Tavë kosi),Chicken in white wine sauce,5
1863,Albanian baked lamb with rice (Tavë kosi),Annika's glögg (Annika’s mulled wine),1
1864,Albanian baked lamb with rice (Tavë kosi),Anolini in brodo (meat filled pasta in chicken broth),5
1865,Albanian baked lamb with rice (Tavë kosi),Easy cookies,4
1866,Albanian baked lamb with rice (Tavë kosi),Anglesey eggs with bacon chops,7
1867,Albanian baked lamb with rice (Tavë kosi),Antony's 'mainstay' mince,5
1868,Albanian baked lamb with rice (Tavë kosi),Aperitivo di passata,2
1869,Albanian baked lamb with rice (Tavë kosi),Apple and blueberry cobbler,2
1870,Albanian baked lamb with rice (Tavë kosi),Delia's any kind of cheese sauce,5
1871,Albanian baked lamb with rice (Tavë kosi),Apple and blackberry crumble,3
1872,Albanian baked lamb with rice (Tavë kosi),Apple and blueberry pie,3
1873,Albanian baked lamb with rice (Tavë kosi),Apple and carrot sesame crumble,3
1874,Albanian baked lamb with rice (Tavë kosi),Apple and Cheshire cheese bake,2
1875,Albanian baked lamb with rice (Tavë kosi),Apple and bacon chutney,1
1876,Albanian baked lamb with rice (Tavë kosi),Apple and cinnamon kugelhopf with honeyed apples,4
1877,Albanian baked lamb with rice (Tavë kosi),Loaf cake with apple and cinnamon,2
1878,Albanian baked lamb with rice (Tavë kosi),Apple and filo tart with scallops and bacon salad,4
1879,Albanian baked lamb with rice (Tavë kosi),Apple and lemon kites ,3
1880,Albanian baked lamb with rice (Tavë kosi),Apple and passion fruit tartlets,4
1881,Saturday Kitchen Sling ,15 minute pasta,1
1882,Saturday Kitchen Sling ,3D biscuits ,1
1883,Saturday Kitchen Sling ,2-hour Christmas dinner,3
1884,Saturday Kitchen Sling ,Mustard and thyme crusted rib-eye of beef ,1
1885,Saturday Kitchen Sling ,Aberdeen butteries (Rowies),1
1886,Saturday Kitchen Sling ,Abundant steamed sea bass and seasonal clams with sizzling oil,2
1887,Saturday Kitchen Sling ,A classic sponge cake (with passion fruit filling),1
1888,Saturday Kitchen Sling ,Lemon curd ice cream,2
1889,Saturday Kitchen Sling ,"A creamy, crunchy fruit sundae",2
1890,Saturday Kitchen Sling ,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",2
1891,Saturday Kitchen Sling ,Ackee and saltfish,1
1892,Saturday Kitchen Sling ,Aged sirloin steak with Thai salad and toasted hazelnuts,2
1893,Saturday Kitchen Sling ,Aglio e peperoncino,0
1894,Saturday Kitchen Sling ,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),1
1895,Saturday Kitchen Sling ,Aïoli,1
1896,Saturday Kitchen Sling ,Adhraki gosht (lamb masala in a tomato and ginger sauce),1
1897,Saturday Kitchen Sling ,Ajwain parathas ,1
1898,Saturday Kitchen Sling ,Albanian baked lamb with rice (Tavë kosi),1
1899,Saturday Kitchen Sling ,Saturday Kitchen Sling ,6
1900,Saturday Kitchen Sling ,Aji de gallina,1
1901,Saturday Kitchen Sling ,Ajitsuke tamago (Japanese pickled eggs),1
1902,Saturday Kitchen Sling ,Albondigas (spicy Mexican meatballs with red rice),1
1903,Saturday Kitchen Sling ,All-in-one rib roast with horseradish glaze,0
1904,Saturday Kitchen Sling ,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
1905,Saturday Kitchen Sling ,All-day breakfast frittata,1
1906,Saturday Kitchen Sling ,All-purpose easy butter cake,1
1907,Saturday Kitchen Sling ,Ale fruit loaf,1
1908,Saturday Kitchen Sling ,All-in-one white sauce,0
1909,Saturday Kitchen Sling ,Almond and cauliflower korma curry,1
1910,Saturday Kitchen Sling ,"Almond, cranberry and orange biscotti",3
1911,Saturday Kitchen Sling ,Almond-crusted salmon with chilli spinach,1
1912,Saturday Kitchen Sling ,Almond and lemon polenta cake with orange mascarpone,3
1913,Saturday Kitchen Sling ,Almond lentil stew,1
1914,Saturday Kitchen Sling ,Almond dipping sauce with pitta bread fingers,2
1915,Saturday Kitchen Sling ,Almond pancakes with ice cream and toffee sauce,1
1916,Saturday Kitchen Sling ,Almond puddings with Christmas pudding ice cream,1
1917,Saturday Kitchen Sling ,Almond-rolled goats' cheese,1
1918,Saturday Kitchen Sling ,Almond rice pudding and cherry compôte,2
1919,Saturday Kitchen Sling ,Almond praline,1
1920,Saturday Kitchen Sling ,Almondy mince pies,1
1921,Saturday Kitchen Sling ,Almond tart,0
1922,Saturday Kitchen Sling ,Almond semifreddo,1
1923,Saturday Kitchen Sling ,Alpine pizza,1
1924,Saturday Kitchen Sling ,Almond soup,1
1925,Saturday Kitchen Sling ,Alternative fish and chips,2
1926,Saturday Kitchen Sling ,Aloo panchporan (Stir-fried potatoes tempered with five spices),1
1927,Saturday Kitchen Sling ,Amaretti and berry sundae,3
1928,Saturday Kitchen Sling ,Amaretti biscuits,0
1929,Saturday Kitchen Sling ,"Salt crust chicken with peas, broad beans and mousseron mushrooms",2
1930,Saturday Kitchen Sling ,Amaretti tiramisu,2
1931,Saturday Kitchen Sling ,Amaretti biscuits,1
1932,Saturday Kitchen Sling ,Amaretti-stuffed pears with red wine and vanilla sauce,1
1933,Saturday Kitchen Sling ,Amaretti biscuits,1
1934,Saturday Kitchen Sling ,A medley of shellfish with baby vegetables,1
1935,Saturday Kitchen Sling ,Amaretto vanilla custard,1
1936,Saturday Kitchen Sling ,Amazing apple tarts,2
1937,Saturday Kitchen Sling ,American baked cheesecake,2
1938,Saturday Kitchen Sling ,American-style pancakes with bacon and maple syrup,1
1939,Saturday Kitchen Sling ,Gluten-free American buttermilk pancakes,1
1940,Saturday Kitchen Sling ,American pancakes with flambéed cherries and warm chocolate sauce,2
1941,Saturday Kitchen Sling ,Chocolate ripple cheesecake,1
1942,Saturday Kitchen Sling ,Breakfast muffins,2
1943,Saturday Kitchen Sling ,American fried chicken with spicy chickpeas and honey glazed tomatoes,0
1944,Saturday Kitchen Sling ,American-style chocolate brownies,1
1945,Saturday Kitchen Sling ,American-style mango pancakes,1
1946,Saturday Kitchen Sling ,American style pancakes with sausage,1
1947,Saturday Kitchen Sling ,American-style pancakes with blueberries,2
1948,Saturday Kitchen Sling ,American-style pancakes with blueberries,2
1949,Saturday Kitchen Sling ,Anatra con melagrana (duck with pomegranate) and sautéed escarole,1
1950,Saturday Kitchen Sling ,An authentic ragù bolognese,1
1951,Saturday Kitchen Sling ,Anchoïade dip,1
1952,Saturday Kitchen Sling ,Anchoïade with crudites,1
1953,Saturday Kitchen Sling ,Anchovy and sage crisps,1
1954,Saturday Kitchen Sling ,Pork chops with celeriac mash and apple and ale gravy,1
1955,Saturday Kitchen Sling ,An extraordinary way with lettuce,2
1956,Saturday Kitchen Sling ,Andalucian shrimp and spring onion fritters,1
1957,Saturday Kitchen Sling ,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",1
1958,Saturday Kitchen Sling ,Feijoada ,1
1959,Saturday Kitchen Sling ,Angela's slow roasted ginger pork,1
1960,Saturday Kitchen Sling ,Angel food cake with lemon curd,2
1961,Saturday Kitchen Sling ,Chicken in white wine sauce,2
1962,Saturday Kitchen Sling ,Annika's glögg (Annika’s mulled wine),2
1963,Saturday Kitchen Sling ,Anolini in brodo (meat filled pasta in chicken broth),1
1964,Saturday Kitchen Sling ,Easy cookies,1
1965,Saturday Kitchen Sling ,Anglesey eggs with bacon chops,1
1966,Saturday Kitchen Sling ,Antony's 'mainstay' mince,1
1967,Saturday Kitchen Sling ,Aperitivo di passata,1
1968,Saturday Kitchen Sling ,Apple and blueberry cobbler,1
1969,Saturday Kitchen Sling ,Delia's any kind of cheese sauce,1
1970,Saturday Kitchen Sling ,Apple and blackberry crumble,2
1971,Saturday Kitchen Sling ,Apple and blueberry pie,3
1972,Saturday Kitchen Sling ,Apple and carrot sesame crumble,2
1973,Saturday Kitchen Sling ,Apple and Cheshire cheese bake,0
1974,Saturday Kitchen Sling ,Apple and bacon chutney,1
1975,Saturday Kitchen Sling ,Apple and cinnamon kugelhopf with honeyed apples,2
1976,Saturday Kitchen Sling ,Loaf cake with apple and cinnamon,0
1977,Saturday Kitchen Sling ,Apple and filo tart with scallops and bacon salad,1
1978,Saturday Kitchen Sling ,Apple and lemon kites ,1
1979,Saturday Kitchen Sling ,Apple and passion fruit tartlets,1
1980,Aji de gallina,15 minute pasta,2
1981,Aji de gallina,3D biscuits ,1
1982,Aji de gallina,2-hour Christmas dinner,4
1983,Aji de gallina,Mustard and thyme crusted rib-eye of beef ,3
1984,Aji de gallina,Aberdeen butteries (Rowies),2
1985,Aji de gallina,Abundant steamed sea bass and seasonal clams with sizzling oil,2
1986,Aji de gallina,A classic sponge cake (with passion fruit filling),1
1987,Aji de gallina,Lemon curd ice cream,1
1988,Aji de gallina,"A creamy, crunchy fruit sundae",1
1989,Aji de gallina,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",4
1990,Aji de gallina,Ackee and saltfish,4
