,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
100,Apple and elderflower cobbler,60,,apple,oz elderflower cordial,sugar,flour,tsp baking powder,salt,demerara sugar,cold butter,oz buttermilk,crumble wensleydale cheese,oz milk,vanilla pod,free-range egg yolk,sugar,pour,mix,blend,simmer,salt,bake,serve,infuse,whisk
101,Apple and orange millefeuille,40,,x rectangle,soft brown sugar,apple,orange,oz greek yoghurt,lemon,â˝lemon,tsp maple syrup,tbsp ice sugar,ready-made custard,,,,,layer,melt,mix,juice,fry,bake,serve,brown,ice
102,Apple and Stilton dumplings ,60,,red onion,white wine vinegar,lemon,tbsp caster sugar,clove,cinnamon stick,golden sultana,eat apple,lemon,all-butter puff pastry,plain flour,stilton,free-range egg,tbsp nigella seed,brush,juice,roll,mash,simmer,stew,bake,measure,soak
103,Apple and prune crumble with brandy cream,30,,butter,brown sugar,½ tsp cinnamon,finely chopped prune,½ bramley apple,tbsp butter,tbsp brown sugar,tbsp plain flour,tbsp pistachio nut,tbsp double cream,tbsp brandy,,,,melt,blend,whip,bake,serve,combine,fold,brown,heat
104,Apple and rhubarb muffins,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_and_rhubarb_37109_16x9.jpg,tbsp sunflower oil,soft brown sugar,free-range egg,oz buttermilk,tsp vanilla extract,rhubarb,apple,walnut,tbsp baking powder,plain flour,oat bran,tbsp demerara sugar,tsp ground cinnamon,tsp ground nutmeg,mix,oil,bake,fold,brown,sprinkle,,,
105,Apple and Sauternes bread and butter pudding,30,,slice brioche,ready-made vanilla custard,free-range egg yolk,oz double cream,tbsp sauterne wine,butter,apple,tbsp ice sugar,,,,,,,melt,warm,microwave,fry,sprinkle,gratin,slice,serve,top
106,Apple and sultana puff pastry diamond with clotted cream,30,,apple - peel,lengthways seed scrap,butter,cinnamon,sugar,sultana,splash water,puff pastry,egg wash,sugar,clot cream,,,,mix,brush,roll,wash,bake,slice,fold,serve,brown
107,Apple and thyme crumble with thyme custard,60,,butter,bramley apple,tbsp caster sugar,fresh lemon thyme,butter,plain flour,caster sugar,oz milk,oz double cream,sprig fresh thyme,free-range egg yolk,caster sugar,,,thicken,mix,grease,warm,simmer,bake,serve,infuse,whisk
108,Apple and syrup steamed pudding with plum and apple compôte and homemade custard,30,,tbsp golden syrup,bramley cooking apple,butter,dark brown sugar,lemon,vanilla pod,medium free-range egg,self-raising flour,tsp baking powder,tbsp unsalted butter,caster sugar,plum,bramley apple,cinnamon stick,thicken,mix,blend,heat,top,strain,boil,beat,simmer
109,Apple and toffee crumble pie ,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_and_toffee_crumble_76635_16x9.jpg,oil,dark brown sugar,cream tartar,golden syrup,black treacle,butter,sugar,free-range egg yolk,flour,butter,sugar,orange,bramley apple,cinnamon stick,mix,bake,can,chunk,heat,cool,top,burn,toast
110,Toffee apple muffins,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/appleandtoffeemuffin_86119_16x9.jpg,free-range egg,caster sugar,oz milk,butter,plain flour,tsp baking powder,½ tsp salt,cinnamon,eat apple,shop-bought toffee piece,,,,,melt,mix,warm,sift,salt,bake,serve,combine,cool
111,Apple and Wensleydale pie,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_and_wensleydale_16189_16x9.jpg,plain flour,cold unsalted butter,cooking apple,eat apple,caster sugar,wensleydale cheese,little milk,tbsp caster sugar,,,,,,,dough,mix,brush,roll,trim,steam,core,quarter,peel
112,"Apple, blackberry and cinnamon chutney",30,,bramley apple,onion,granulate sugar,oz balsamic vinegar,tsp ground cinnamon,ground black pepper,blackberry,,,,,,,,boil,wash,simmer,dry,combine,turn,heat,stir,
113,Apple and thyme tarte tatin with honeycomb and walnut ice cream,150,,caster sugar,online shop ),oz clear honey,oz water,oil,tsp bicarbonate soda,oz double cream,tbsp clear honey,walnut,caster sugar,butter,flour,ready-rolled puff pastry,golden delicious apple,boil,grease,warm,whip,sprinkle,bake,serve,fold,top
114,Apple charlotte,60,,caster sugar,unsalted butter,orange pippin apple,fresh apple juice,caster sugar,tsp apple pectin,( ),good-quality vanilla extract,unsalted butter,caster sugar,wholemeal bread,unsalted butter,,,mix,bread,dip,fry,raw,can,heat,cool,top
115,"Apple, bacon and black pudding salad with gribiche dressing",30,,apple,rasher streaky bacon,handful mixed leaf,slice black pudding,quail ' egg,tsp caper,tsp gherkin,tsp balsamic vinegar,tbsp olive oil,tsp red onion,,,,,layer,mix,drizzle,fry,oil,top,,,
116,Apple cake,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/applecake_90046_16x9.jpg,oz french cider,plain flour,tsp bicarbonate soda,mixed spice powder,tsp ground cinnamon,freshly grate nutmeg,apple,dark brown sugar,melt butter,free-range egg,oz golden sultana,pecan,mascarpone,splash double cream,boil,mix,stir,sift,bake,serve,fold,combine,whisk
117,Apple Charlotte,30,,unsalted butter,caster sugar,bramley apple,slice white bread,,,,,,,,,,,melt,bread,dip,bake,slice,cut,heat,top,
118,Apple Charlotte,30,,â˝ apple,ground cinnamon,unsalted butter,slice bread,unsalted butter,soft brown sugar,oz milk,oz double cream,vanilla pod,free-range egg yolk,caster sugar,,,,pour,bread,beat,warm,bake,slice,serve,brown,heat
119,Apple charlotte,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/applecharlotte_81084_16x9.jpg,butter,caster sugar,cooking apple,smooth apricot jam,slice white bread,custard,,,,,,,,,melt,bread,dip,slice,serve,brown,can,chunk,cut
120,Apple charlotte,60,,lb cooking apple,lemon,brown soft sugar,tsp ground cinnamon,quality brown bread,butter,,,,,,,,,brush,juice,beat,bread,melt,simmer,bake,slice,fold
121,Apple charlotte with caramel sauce,60,,butter,cooking apple ),cox 's,caster sugar,vanilla pod,free-range egg yolk,melt butter bread,slice white bread,butter,dark brown sugar,oz double cream,clot cream,,,boil,melt,mix,bread,wedge,bake,slice,combine,serve
122,"Apple, cherry and marzipan pie ",150,,unsalted butter,plain flour,caster sugar,salt,lemon,ground cinnamon,caster sugar,tbsp cornflour,braeburn apple,cox apple,marzipan,dry sour cherry,free-range egg,,layer,dough,mix,chill,roll,salt,bake,measure,combine
123,Apple charlottes with thyme custard,60,,cox apple,caster sugar,â˝ lemon,tbsp apricot jam,tbsp water,butter,slice white bread,oz double cream,oz milk,sprig fresh thyme,free-range egg yolk,caster sugar,double cream,,thicken,bread,dip,bake,scald,heat,cool,top,strain
124,Apple compôte,60,,unsalted butter,granny smith apple,caster sugar,vanilla pod split,,,,,,,,,,,melt,blend,serve,reduce,heat,sieve,pulp,stir,
125,Apple cider cake with mascarpone,60,,oz good-quality cider,oz plain flour,tsp baking soda,tsp mixed spice,tsp cinnamon,grate nutmeg,dark brown sugar,melt butter,cox russet ),free-range egg,golden sultana,chopped pecan,mascarpone,splash cream,mix,bake,cool,boil,slice,turn,dry,fold,pour
126,Apple crêpes with calvados,30,,plain flour,buckwheat flour,tsp ground cinnamon,egg,tub crème fraîche,granny smith apple,tbsp calvados,melt butter,caster sugar,tbsp calvados,double cream,,,,fry,can,heat,melt,quarter,combine,cut,turn,core
127,"Apple, cinnamon and chestnut tart with a marshmallow sauce",30,,caster sugar,roast chestnut syrup,apple,ground cinnamon,tbsp kirsch liqueur,self-raising flour,tsp baking powder,½ tsp salt,butter,caster sugar,whole milk,small handful marshmallow,oz double cream,,dough,melt,roll,blend,warm,drizzle,fry,salt,bake
128,Apple croustade with Armagnac custard,30,,caster sugar,butter,tbsp water,dry cranberry,sultana,raisin,dessert apple,filo pastry,tsp ground cinnamon,clementine,lemon,clarify butter,free-range egg yolk,caster sugar,mix,fry,heat,top,boil,melt,combine,cut,wedge
129,Nigel Slater's apple crumble,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/applecrumble_89166_16x9.jpg,bramley apple,sugar,water apple juice,plain flour,butter,roll oat,demerara sugar,,,,,,,,juice,blend,core,quarter,bake,slice,brown,cut,heat
130,Apple crumble,60,,unsalted butter,brown sugar,eat variety ),plain flour,cold butter,ground cinnamon,demerara sugar,porridge oat,,,,,,,melt,mix,rub,bake,serve,combine,chunk,heat,cool
131,Apple crumble with walnuts and sunflower seeds ,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_crumble_with_81274_16x9.jpg,cooking apple,½ lemon,light muscovado sugar,plain flour,porridge oat,light muscovado sugar,walnut,sunflower seed,soften butter,,,,,,boil,mix,juice,core,thin,peel,bake,slice,dry
132,Apple crumble with star anise,60,,plain flour,brown sugar,unsalted butter,salt,unsalted butter,russet cox ),caster sugar,star anise,cinnamon stick,crème fraîche,pomegranate seed,,,,layer,mix,melt,process,thin,bake,serve,brown,cool
133,Apple-crusted pork with crackling and apple sauce,30,,pork tenderloin,chopped fresh chive,chopped fresh coriander,chopped fresh mint,tbsp olive oil,ground black pepper,fresh breadcrumb,¼ apple,edam,pork fat,tbsp butter,tbsp brown sugar,apple,,mix,roll,oil,salt,bake,serve,season,heat,rub
134,Apple crumble,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/applecrumble_2971_16x9.jpg,plain flour,unrefined brown sugar,unsalted butter,knob butter grease,apple,unrefined brown sugar,tbsp plain flour,ground cinnamon,,,,,,,mix,bake,serve,brown,rub,top,sprinkle,cream,stir
135,"Apple, date and ginger chutney",120,,bramley apple,garlic clove,oz cider vinegar,granulate sugar,date,sultana,fresh ginger,½ tsp salt,tsp ground allspice,cayenne pepper,,,,,core,peel,salt,slice,dry,preserve,cool,top,stir
136,Apple crumble with custard,30,,unsalted butter,tsp ground ginger,bramley apple,tsp caster sugar,plain flour,brown sugar,oz whole milk,oz double cream,vanilla pod,free-range egg yolk,tbsp caster sugar,,,,thicken,boil,mix,warm,sprinkle,serve,combine,brown,heat
137,Apple frangipane tart,30,,digestive biscuit,butter,bramley apple,butter,caster sugar,free-range egg,ground almond,tsp almond extract,flake almond,,,,,,mix,blend,process,bake,can,cool,top,layer,melt
138,Apple dappy,30,,self-raising flour,butter,tbsp caster sugar,tbsp single cream,eat apple,ground cinnamon,tsp demerara sugar,,,,,,,,dough,mix,juice,roll,bake,grate,slice,combine,serve
139,Apple fritters with crème anglaise,30,,hot vegetable oil,free-range egg,self-raising flour,water,chopped fresh mint,apple,free-range egg yolk,tbsp caster sugar,vanilla pod,tbsp cornflour,½ whole milk,cinnamon,ice sugar,,boil,mix,beat,warm,dip,oil,simmer,drain,serve
140,Apple fritters in Stilton batter,40,,tbsp plain flour,free-range egg,tbsp milk,stilton,apple,vegetable oil,cinnamon powder,,,,,,,,mix,warm,dip,oil,fry,drain,serve,can,batter
141,"Apple, hazelnut and Calvados upside-down cake",0,,sultana,chopped dry apple,tbsp calvados,blanch hazelnut,self-raising flour,margarine,muscavado sugar,medium free-range egg,vanilla extract ),tsp baking powder,tsp cinnamon,caster sugar,unsalted butter,granny smith apple,mix,blend,dip,bake,heat,cool,top,burn,toast
142,Apple noodle tart with toasted almonds and ginger crème fraîche,30,,ground almond,¼ tsp salt,tsp bicarbonate soda,tbsp maple syrup,butter,free-range egg,eat apple,tsp vanilla extract,raisin,tsp ground cinnamon,tsp maple syrup,cold butter,almond flake,full-fat crème fraîche,dough,mix,chill,roll,wedge,press,grate,bake,julienne
143,Apple fritters with cinnamon sugar,40,,vegetable oil,handful ice cube,tsp baking powder,plain flour,cold sparkle water,apple,caster sugar,tsp ground cinnamon,,,,,,,mix,bread,dip,oil,fry,drain,slice,serve,can
144,Apple parcels with crème anglaise,30,,unsalted butter,apple,date,tbsp maple syrup,ready-made filo pastry,free-range egg,ice sugar,caster sugar,free-range egg yolk,oz milk,oz double cream,,,,thicken,boil,melt,drizzle,bake,serve,fold,whisk,ice
145,Apple pie,30,,plain flour,½ tsp salt,caster sugar,unsalted butter,free-range egg,free-range egg yolk,sultana,½ orange,tbsp semolina flour,large cooking apple,golden caster sugar,tbsp ground cinnamon,free-range egg,clot cream,blend,process,bake,cool,top,layer,roll,slice,combine
146,Apple pie with custard ,60,,plain flour,unsalted butter,orange,caster sugar,salt,free-range egg yolk,cox apple,bramley apple,royal gala apple,caster sugar,tbsp cornflour,tsp vanilla extract,tsp ground cinnamon,oz whole milk,thicken,mix,bake,refrigerate,heat,cool,strain,roll,simmer
147,Apple onion salad with blue cheese dressing,30,,tbsp olive oi,lâ˝ red onion,apple,dolcelatte cheese,white wine vinegar,tbsp wholegrain mustard,olive oil,,,,,,,,mix,oil,fry,serve,heat,whisk,pour,separate,
148,"Apple, plum and cinnamon country pie ",60,,plain flour,salt,vegetable shorten,lightly salt butter,free-range egg,bramley cooking apple,golden delicious ),lemon,red plum,tbsp cornflour,sugar,soft brown sugar,tsp ground allspice,tsp ground cinnamon,mix,process,bake,refrigerate,heat,cool,top,melt,roll
149,"Apple, rhubarb and ginger crumble with coconut custard",30,,butter,stick rhubarb,½ bramley apple,grate fresh ginger,tsp cornflour,butter,caster sugar,soft brown sugar,plain flour,tbsp porridge oat,double cream,coconut milk,tsp vanilla extract,free-range egg yolk,thicken,boil,melt,mix,beat,process,bake,serve,whisk
150,"Apple, pork and cheddar burger with chips",30,,tbsp olive oil,large potato ),sausage,cheddar,½ onion,tbsp wholegrain mustard,sage leaf,¼ apple,tsp worcestershire sauce,tbsp olive oil,cheddar,small bunch chive,,,garnish,mix,oil,fry,serve,combine,slice,heat,top
151,"Apple, raisin and coconut porridge with spiced sugar",30,,butter,½ bramley apple,tsp caster sugar,raisin,porridge oat,oz coconut milk,tbsp caster sugar,soft brown sugar,tsp mixed spice,tsp ground cinnamon,,,,,melt,mix,fry,simmer,serve,combine,brown,sprinkle,stir
152,Apple snow,30,,apple,tsp cinnamon,sugar taste,oz double cream,egg white,,,,,,,,,,whip,serve,fold,whisk,cool,sieve,cream,,
153,Apple sponge pudding,30,,butter,caster sugar,zest lemon,free-range egg,self-raising flour,ground almond,apple,ice sugar,double cream,,,,,,mix,grease,blend,drizzle,fry,serve,combine,brown,ice
154,"Apple, rocket and feta buckwheat galettes",150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_rocket_and_feta_26780_16x9.jpg,buckwheat flour,free-range egg,butter,tbsp ghee,olive oil,ground black pepper,tbsp butter,large red onion,green apple,sea salt flake,ground black pepper,squeeze lemon juice,bag rocket,feta,mix,fry,process,bake,heat,melt,thin,combine,season
155,"Apple rings with ginger, lemon and black pepper tahini spread",30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_rings_with_ginger_57928_16x9.jpg,tbsp tahini,finely grate ginger,tsp honey,ground black pepper,salt,apple,,,,,,,,,mix,serve,slice,combine,,,,,
156,Apple sponge pudding with toffee sauce,40,,apple,butter,sugar,self raise flour,butter,brown sugar,egg,oz milk,butter,dark brown sugar,oz double cream,,,,melt,mix,fry,peel,slice,serve,top,wedge,cream
157,Apple strudel ,30,,tbsp raisin,large orange,cooking apple,unsalted butter,oz water,caster sugar,tsp ground cinnamon,handful fresh breadcrumb,unsalted butter,sheet filo pastry,ice sugar,double cream,,,process,bake,can,heat,cool,top,melt,roll,combine
158,Apple strudel,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_strudel_24124_16x9.jpg,bramley apple,tsp ground cinnamon,½ unwaxed lemon,tsp lemon juice,golden caster sugar,raisin,butter,white breadcrumb,sheet filo pastry,tbsp ice sugar,,,,,mix,juice,melt,brush,roll,fry,bake,dry,slice
159,Apple sorbet,30,,press apple juice,little ice sugar,lemon juice,calvados apple brandy,,,,,,,,,,,churn,juice,serve,ice,whisk,pour,cream,freeze,
160,"Apple, sultana and cinnamon swirls",150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apple_sultana_and_48182_16x9.jpg,strong white flour,fine sea salt,caster sugar,fast-action yeast,large free-range egg,oz full-fat milk,oil vegetable oil,unsalted butter,unsalted butter,caster sugar,tsp ground cinnamon,peel,sultana,small unwaxed orange,mix,bake,heat,cool,top,boil,beat,roll,simmer
161,Apple tart 'Maman Blanc',30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/appletartmamanblanc_93268_16x9.jpg,plain flour,sea salt,unsalted butter,tsp cold water,medium free-range egg,unsalted butter,tbsp lemon juice,caster sugar,½ tbsp calvados,'s orange pippin,oz double cream,medium free-range egg,tbsp ice sugar,,mix,bake,heat,cool,top,layer,melt,roll,slice
162,Apple strudel,60,,eat apple,½ orange,caster sugar,freshly grate nutmeg,sultana,ready-made filo pastry,butter,tbsp dry breadcrumb,,,,,,,melt,mix,juice,brush,roll,grease,dry,brown,top
163,Mini-apple strudels with custard,30,,free-range egg yolk,caster sugar,oz milk,vanilla pod,apple,tbsp cinnamon,tbsp brown sugar,ready-made croissant pastry,free-range egg,oz vegetable oil,ice sugar,,,,mix,can,heat,cool,boil,turn,brush,wash,drizzle
164,Apple tart with mulberry and blackberry ice cream,150,,mixed mulberry blackberry,sugar,oz cream,oz milk,½ vanilla pod,free-range egg yolk,bramley apple,ready-made puff pastry,free-range egg yolk,pink lady apple,butter,tbsp caster sugar,,,score,bake,heat,cool,top,layer,boil,churn,melt
165,Apple tart with spiced caramel sauce,30,,all-butter puff pastry,free-range egg yolk,marzipan,dessert apple,butter,tbsp clear honey,vanilla ice cream,caster sugar,star anise,½ tsp clove,freshly grate nutmeg,tsp juniper berry,oz double cream,,thicken,fry,score,bake,top,melt,roll,simmer,combine
166,Apple tart with honey cream and butterscotch sauce,30,,knob butter,sprig fresh rosemary,tbsp caster sugar,apple peel,ready-made puff pastry,honey,caster sugar,butter,oz double cream,sprig fresh mint,,,,,thicken,boil,melt,garnish,mash,drizzle,bake,slice,serve
167,Apple tart with blackberry sorbet,30,,caster sugar,oz water,half lemon,tsp liquid glucose,blackberry,caster sugar,tbsp water,ready-rolled puff pastry,apple,demerera sugar,fresh mint leaf,,,,bake,heat,cool,top,freeze,boil,churn,cut,scoop
168,"Apple, walnut and raisin chaussons with Cheshire cheese",120,,strong white flour,fast action yeast,caster sugar,oz full-fat milk,medium free-range egg,fine sea salt,unsalted butter,granny smith ),lemon,tsp mixed spice,unsalted butter,raisin,walnut,tbsp caster sugar,mix,process,bake,chunk,cool,top,roll,combine,turn
169,Apricot almond cake with rosewater and cardamom,60,,ready-to-eat dry apricot,cardamom pod,ground almond,( instant ),gluten-free require ),caster sugar,large free-range egg,tsp lemon juice,tsp rosewater,sunflower oil grease,petal apricot jam,tsp lemon juice,finely chopped pistachio,,boil,brush,juice,grease,warm,bake,sprinkle,dry,combine
170,Apricot and almond biscotti with limoncello,60,,oz fruit alcohol,caster sugar,unwaxed lemon,plain flour,caster sugar,tsp baking powder,medium free-range egg,dry sweeten strawberry,dry apricot,medjool date,pistachio nut,whole blanch almond,hazelnut,lemon,dough,chill,juice,mix,roll,quarter,bake,harden,slice
171,Apricot and brandy Christmas cake,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricotandbrandychri_77766_16x9.jpg,dry apricot,currant,sultana,raisin,oz brandy,butter,light muscovado sugar,plain flour,large free-range egg,glacé cherry,orange,tbsp apricot jam,,,mix,blend,bake,heat,cool,top,strain,layer,melt
172,Apricot and chocolate flapjacks,30,,unsalted butter,golden syrup,roll porridge oat,plain flour,salt,dry,plain chocolate,,,,,,,,layer,boil,melt,grease,drizzle,simmer,salt,bake,dry
173,Apricot and cinnamon fritters,40,,oz self-raising flour,cold sparkle water,â˝ vegetable oil,apricot,ice sugar,tsp cinnamon,,,,,,,,,bread,dip,oil,fry,drain,serve,can,ice,batter
174,Apricot brioche tart,60,,egg,tbsp caster sugar,tub mascarpone cheese,brioche slice,apricot half,tbsp demerara sugar,créme fraïche serve,,,,,,,,layer,trim,grease,bake,slice,serve,ice,whisk,sprinkle
175,Apricot and Madeira cheesecake,30,,ready-made madeira cake,oz double cream,tbsp mascarpone,tbsp caster sugar,½ lemon,tin apricot half,raspberry,tin apricot syrup,tin apricot half,fresh mint sprig,,,,,garnish,chill,juice,blend,serve,fold,top,whisk,cream
176,"Apricot, chestnut and aduki balls with roasted vegetables and white wine miso gravy",30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricot_chestnut_and_76988_16x9.jpg,brussels sprout,large carrot,red onion,large parsnip,tbsp coconut oil,chopped fresh herb,ground black pepper,tbsp coconut oil,tsp ground cumin,tsp ground turmeric,tsp ground cinnamon,large onion,garlic clove,tin aduki bean,mix,blend,fry,bake,heat,boil,melt,roll,simmer
177,Apricot and white chocolate tiramisu,40,,free-range egg,tbsp ice sugar,oz double cream,mascarpone,( apricot ),½ lemon,tbsp white wine,ready-made sponge finger,apricot,grate white chocolate,grate orange zest,,,,juice,dip,simmer,whip,grate,serve,fold,top,ice
178,Apricot and raspberry filo tart,40,,butter,walnut,tin apricot half,raspberry,½ orange,sheet filo pastry,tbsp caster sugar,,,,,,,,melt,juice,brush,fry,sprinkle,bake,brown,top,pour
179,Apricot couronne,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricot_couronne_12975_16x9.jpg,white bread flour,salt,instant yeast,unsalted butter,oz milk,free-range egg,unsalted butter,light muscovado sugar,ready-to-eat dry apricot,plain flour,raisin,chopped walnut,orange,apricot jam,mix,bake,can,rise,cool,heat,skin,beat,roll
180,"Apricot, carrot and almond jam",60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricot_carrot_and_60812_16x9.jpg,carrot,fresh apricot,piece fresh ginger,granulate caster sugar,small lemon,chopped almond,,,,,,,,,boil,juice,grate,cool,burn,stir,,,
181,Apricot mousse,30,,tin apricot half,tin apricot juice,½ lemon,maple syrup,oz double cream,greek yoghurt,sprig fresh mint,,,,,,,,garnish,mix,juice,blend,serve,pour,cream,,
182,Apricot tarte tatin,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricot_tarte_tatin_49907_16x9.jpg,caster sugar,unsalted butter,fresh apricot,ready-rolled puff pastry,fraiche ice cream,,,,,,,,,,fry,bake,measure,heat,cool,top,melt,roll,turn
183,Arabian night tart,150,,caster sugar,medium free-range egg,plain flour,salt butter,free-range egg,unsalted pistachio nut,ground almond,salt butter,caster sugar,large free-range egg,runny honey,sugar,large free-range egg,cornflour,mix,blend,bake,heat,cool,top,burn,boil,beat
184,Apricot frangipane tart,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/apricot_frangipane_tart_19845_16x9.jpg,plain flour,butter,caster sugar,free-range egg,butter,caster sugar,free-range egg,ground almond,tsp almond extract,apricot jam,ripe apricot,tbsp apricot jam,flake almond,,mix,blend,process,bake,measure,heat,cool,top,layer
185,Arancini with deep-fried courgette flowers,40,,vegetable oil,serrano parma ham,tbsp grate parmesan,chill cooked risotto,plain flour,free-range egg,fresh breadcrumb,cornflour,oz sparkle water,courgette flower,lemon,,,,mix,roll,beat,warm,dip,oil,fry,wedge,drain
186,Arancini with taleggio,150,,chicken vegetable stock,oil olive oil,onion,garlic clove,risotto rice,oz white wine,fresh flat-leaf parsley,bunch fresh chive,bunch fresh mint,parmesan,taleggio,flour plain flour,free-range egg,dry breadcrumb,mix,bread,dip,process,fry,can,refrigerate,heat,cool
187,Apricot upside-down tart,60,,plain flour,salt,chill unsalted butter,caster sugar,large free-range egg,caster sugar,oz water,butter,medium-sized fresh apricot,cream ice cream,,,,,blend,fry,bake,heat,cool,melt,roll,simmer,combine
188,Arancini with tomato and olive tapenade ,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arancini_with_tomato_and_49993_16x9.jpg,pit black olive,sun-blush tomato,garlic clove,lemon,chopped fresh parsley,mayonnaise,unsalted butter,arborio rice,splash white wine,warm vegetable stock,sun-dried tomato,spring onion,ground black pepper,free-range egg,melt,beat,warm,blend,roll,dip,oil,salt,drain
189,Arbroath smoked paté with green bean and roasted beetroot compôte,30,,arbroath smoke haddock,baby gherkin,caper,tsp wholegrain mustard,unsalted butter,chopped flat-leaf parsley,lemon,walnut bread,salt,bunch beetroot,red wine vinegar,caster sugar,tsp cumin seed,tsp ground coriander,dice,mix,juice,bread,blend,salt,peel,serve,slice
190,Arbroath-smokie cakes with chilli jam,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arbroath_smokie_cakes_32036_16x9.jpg,caster sugar,red chilli,plum tomato,lime leaf,lemongrass stem,chopped fresh ginger,garlic clove,small shallot,nam pla ),oz sesame oil,dark soy sauce,tbsp clear honey,lime,crème fraîche,mix,blend,dip,fry,can,heat,cool,burn,boil
191,Arbroath smokie pâté with soft quails’ eggs and beetroot,30,,arbroath smokies,lemon,oz double cream,fresh chive,ground black pepper,oz sherry vinegar,red wine vinegar,virgin olive oil,baby red chard,quail ’ egg,cooked beetroot,fresh chervil leaf,,,bone,garnish,juice,blend,warm,oil,toast,salt,serve
192,Arbroath smokie fish cakes with chive sauce,30,,arbroath smokies,oz full-fat milk,mari piper ),fresh flatleaf parsley,chopped fresh chive,free-range egg yolk,ground black pepper,plain flour,free-range egg,japanese panko breadcrumb,tbsp olive oil,butter,shallot,oz white wine,thicken,mix,dip,fry,heat,cool,top,strain,boil
193,Arctic roll,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arctic_roll_48010_16x9.jpg,little sunflower oil,vanilla ice cream,raspberry jam,medium free-range egg,caster sugar,self-raising flour,,,,,,,,,bread,bake,can,cool,roll,beat,thin,slice,cut
194,Arbroath smokie fishcakes with tomato salsa,30,,â˝ arbroath smokie,small oatcake,free-range egg,chopped fresh chive,tbsp plain flour,tbsp olive oil,butter,oz double cream,tsp wholegrain mustard,ripe tomato,fresh basil leaf,lime,ground black pepper,chopped fresh chive,garnish,mix,roll,oil,fry,simmer,serve,heat,top
195,A return to the Black Forest,120,,cocoa solid ),large egg,pit morello cherry,tbsp cherry brandy,oz double cream,large egg,caster sugar,cocoa powder,cocoa solid ),morello cherry jam,little cocoa powder,,,,thicken,bake,can,heat,cool,melt,beat,roll,simmer
196,Arlettes,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arlettes_17164_16x9.jpg,white bread flour,plain flour,tsp salt,unsalted butter,unsalted butter,white bread flour,plain flour,granulate sugar,tsp ground cinnamon,ice sugar,,,,,mix,bake,cool,top,freeze,layer,roll,quarter,slice
197,Arnold Bennett omelette,30,,smoke haddock fillet,oz milk,knob butter,fresh bay leaf,black peppercorn,tbsp crème fraîche,lemon,parmesan,bunch fresh chive,ground black pepper,large free-range egg,knob unsalted butter,virgin olive oil,handful fresh watercress,mix,fry,heat,cool,top,skin,bone,season,turn
198,Arnold Bennett omelette with radish and fennel salad,30,,oz whole milk,smoke haddock,smoke salmon,bay leaf,black peppercorn,butter,free-range egg,plain flour,mature cheddar cheese,ground black pepper,½ butterhead lettuce,½ head fennel,radish,oz french dress,mix,fry,can,heat,cool,top,strain,skin,melt
199,Aromatic beef curry,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/aromatic_beef_curry_90850_16x9.jpg,ghee vegetable oil,beef braising steak,medium onion,garlic clove,tsp ground cumin,tsp ground coriander,tsp ground turmeric,ground black pepper,tsp chilli powder,tsp ground ginger,clove,( optional ),tsp ground cinnamon,chopped tomato,boil,fry,oil,salt,simmer,brown,turn,heat,season
200,Arctic roll,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/arcticroll_93744_16x9.jpg,vanilla ice cream,free-range egg,caster sugar,self-raising flour,caster sugar,â˝ lemon,strawberry,,,,,,,,thicken,mix,dip,fry,bake,heat,cool,freeze,beat
